kommune_navn,fylke,målform,kommune_nr,from_url,pdf_link
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no,https://www.averoy.kommune.no/_f/p1/i29775512-107b-4306-b97d-5d651bff1c12/averoy-2032-kommuneplanens-samfunnsdel.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/,https://www.averoy.kommune.no/_f/p1/i29775512-107b-4306-b97d-5d651bff1c12/averoy-2032-kommuneplanens-samfunnsdel.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no,https://www.bamble.kommune.no/globalassets/organisasjon/kultur-og-oppvekst/handlingsplan-for-okt-frivillighet-2018.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no,https://www.bamble.kommune.no/contentassets/3412922bd1204c3a9bceb0dd79dbdda9/barnehageplan---endelig.pdf
Alstahaug,Nordland,nøytral,1820,https://www.alstahaug.kommune.no/idrett-og-friluftsliv.197774.no.html,https://www.alstahaug.kommune.no/getfile.php/4538003.1880.ks7wan77mi7zzj/Kommunedelplan+fysisk+aktivitet+og+naturopplevelser+2019-2023.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/kontaktinformasjon/skriv-til-oss/,https://www.averoy.kommune.no/_f/p1/i29775512-107b-4306-b97d-5d651bff1c12/averoy-2032-kommuneplanens-samfunnsdel.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no,https://www.bamble.kommune.no/contentassets/3412922bd1204c3a9bceb0dd79dbdda9/plan-for-trygt-og-inkluderende-barnehagemiljo-i-bamble-003.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no,https://www.bamble.kommune.no/contentassets/3749be1eeb1b48d289097530ce344bf6/reglement-for-folkevalgte-organer-og-delegasjon_bamble-kommune-_valgperioden-2023-2027.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/kultur-og-fritid/leie-bygg-anlegg-byrom/sesongleie/,https://www.arendal.kommune.no/_f/p1/if8727d05-2a27-47e6-9e52-a7fa429d12d3/reglement-for-utleie-kommunale-bygg-arendal-kommune.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/om-arendal-kommune/for-leverandorer-til-arendal-kommune/,https://www.arendal.kommune.no/_f/p1/i5a29ae25-0243-4831-8264-c93b95a62d24/anskaffelsesstrategi-2023-2025-arendal-kommune.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/politikk-og-valg/fakta-og-nokkeltall/,https://www.averoy.kommune.no/_f/p1/i29775512-107b-4306-b97d-5d651bff1c12/averoy-2032-kommuneplanens-samfunnsdel.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/politikk-og-valg/fakta-og-nokkeltall/,https://www.averoy.kommune.no/_f/p1/ib71e459f-ba8a-46ab-b45b-5e2c752ef697/kommunestatistikk-averoy-2022.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/politikk-og-valg/fakta-og-nokkeltall/,https://www.averoy.kommune.no/_f/p1/iad54b03e-eb84-4eeb-bb25-dfc0f7a366c7/folkehelseprofil-averoy-2023.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/,https://www.bamble.kommune.no/globalassets/organisasjon/kultur-og-oppvekst/handlingsplan-for-okt-frivillighet-2018.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/i003eecf9-8333-4ec9-b469-0f7afd877c68/skattelisteoffentligettersyn2025_skattlagteeiendommer_gnrbnr-sortert.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/kontaktinformasjon/for-folkevalgte-og-ansatte/,https://www.averoy.kommune.no/_f/p1/i29775512-107b-4306-b97d-5d651bff1c12/averoy-2032-kommuneplanens-samfunnsdel.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/i2ba25634-f302-4004-8bad-140e75bf7bd8/skattelisteoffentligettersyn2025_skattlagteeiendommer_adressesortert.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/ib9bcaabc-3e7d-4287-ab93-038c5942aa1e/skattelisteoffentligettersyn2025_eiendommermedfritak_gnrbnr-sortert.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/Kalender/CalendarEvent.aspx?Id=473&lang=1&MId1=9,https://www.averoy.kommune.no/_f/p1/i29775512-107b-4306-b97d-5d651bff1c12/averoy-2032-kommuneplanens-samfunnsdel.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/,https://www.bamble.kommune.no/contentassets/3412922bd1204c3a9bceb0dd79dbdda9/barnehageplan---endelig.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/i5792a21c-8f4a-49d4-9097-cbff8931fe46/skattelisteoffentligettersyn2025_eiendommermedfritak_adressesortert.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/Kalender/CalendarEvents.aspx?lang=1&dir=ComingEvents&MId1=9&CategoryID=1,https://www.averoy.kommune.no/_f/p1/i29775512-107b-4306-b97d-5d651bff1c12/averoy-2032-kommuneplanens-samfunnsdel.pdf
Averøy,Møre og Romsdal,nøytral,1554,https://www.averoy.kommune.no/politikk-og-valg/borgerlig-vielse/,https://www.averoy.kommune.no/_f/p1/i29775512-107b-4306-b97d-5d651bff1c12/averoy-2032-kommuneplanens-samfunnsdel.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/,https://www.bamble.kommune.no/contentassets/3412922bd1204c3a9bceb0dd79dbdda9/plan-for-trygt-og-inkluderende-barnehagemiljo-i-bamble-003.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/i484874f6-e931-47bd-87fa-686980dedc9e/retningslinjer-soknad-om-nedsettelse-og-ettergivelse-av-eiendomsskatt-arendal-kommune.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/hjemmetjenester1/,https://www.bamble.kommune.no/globalassets/organisasjon/velferd/rehab/henvisningskjema-ergo-fysio-voksne-2014.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/,https://www.bamble.kommune.no/contentassets/3749be1eeb1b48d289097530ce344bf6/reglement-for-folkevalgte-organer-og-delegasjon_bamble-kommune-_valgperioden-2023-2027.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/ie739f15a-ac23-46ba-b438-6e90f35db915/takseringsretningslinjer-2021.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/hjemmetjenester1/,https://www.bamble.kommune.no/globalassets/organisasjon/velferd/rehab/henvisningskjema-fysio-ergo-barn-2014.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/politikk-og-medvirkning/kommunens-planer/ny-kommuneplan-samfunnsdel/,https://www.arendal.kommune.no/_f/p1/ib61698c8-838c-4d54-b096-e982447b947f/planstrategi-2024-2028-og-planprogram-kommuneplanens-samfunnsdel-2024-2034.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/idb545233-9342-42d0-abab-176047968a8f/sonekart-bolig-eiendomsskatt-arendal-kommune.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/i3ca40b6a-3320-49e8-b4b8-159a2f3ac051/sonekart-fritid-eiendomsskatt-arendal-kommune.pdf
